quality_threshold,kept_n,kept_rate,classes_present,min_class_count,mean_provided_class_probability,same_class_rate,same_top_class_rate
0.1,30107,0.9568713450292398,23,27,0.5275859606940715,0.5958747135217723,0.7852658850101305
0.15,28732,0.9131706076786168,23,23,0.5500958254671914,0.6243909230126689,0.8224627592927746
0.2,26854,0.8534833460462751,23,21,0.5827086257323745,0.6680569002755642,0.8650107991360692
0.25,22835,0.7257500635647088,23,14,0.6687243646734953,0.7856360849573024,0.9834026713378585
0.3,21394,0.6799516908212561,23,14,0.7010392977109982,0.8385528652893335,1.0
0.35,18519,0.5885774218154081,23,14,0.7953180165857227,0.9687348128948647,1.0
0.4,17955,0.5706521739130435,23,12,0.8092799001436926,0.9991645781119465,1.0
0.45,17924,0.5696669209255022,23,12,0.8101110106750725,1.0,1.0
0.5,17799,0.5656941266209001,23,12,0.8137425978083038,1.0,1.0
0.55,17386,0.5525680142384948,23,11,0.8243478536144023,1.0,1.0
0.6,16673,0.5299071955250445,23,10,0.8404768915012295,1.0,1.0
0.65,15647,0.49729849987287056,23,8,0.8615148326970027,1.0,1.0
0.7,14690,0.466882786676837,23,8,0.8793467882117088,1.0,1.0
0.75,13471,0.4281400966183575,23,6,0.8992422089651844,1.0,1.0
0.8,12074,0.3837401474701246,23,5,0.9191365376726852,1.0,1.0
0.85,10627,0.3377510806000509,23,1,0.9365568295680813,1.0,1.0
0.9,8472,0.26926010678871093,21,2,0.9571572047237962,1.0,1.0
0.95,5474,0.1739766081871345,18,1,0.9774847380909754,1.0,1.0
