provided_top_class,provided_class,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,mean_ensemble_disagreement
fx,fx-m,1542,0.24254215304798962,0.9332036316472114,0.7829437,0.21765389,0.016736606
is,is-p,2321,0.24472210254200777,0.3127962085308057,0.76192015,0.22420734,0.01543517
ss,ss-i,383,0.24804177545691905,0.4464751958224543,0.67773366,0.21112403,0.02041556
is,is-k,43,0.27906976744186046,0.5348837209302325,0.6618565,0.27149448,0.023598496
sp,sp-c,50,0.32,0.54,0.6684475,0.27197143,0.02068952
fx,fx-ex,839,0.3361144219308701,0.601907032181168,0.61904,0.28009212,0.02591858
fx,fx-el,2000,0.3485,0.774,0.63598675,0.31917584,0.02687063
m,m-sp,964,0.3755186721991701,0.45228215767634855,0.8426636,0.3587977,0.011447823
is,is-s,293,0.40955631399317405,0.7235494880546075,0.7388082,0.42255262,0.020267835
is,is-w,34,0.4117647058823529,0.4117647058823529,0.7598468,0.39304456,0.016891157
ss,ss-s,596,0.4412751677852349,0.4463087248322148,0.67597216,0.37678286,0.022202373
ss,ss-u,2573,0.45394481150408084,0.5783132530120482,0.75510544,0.43759644,0.016272455
sp,sp-p,69,0.4927536231884058,0.6086956521739131,0.7260943,0.42421353,0.020880401
fx,fx-a,730,0.5013698630136987,0.7849315068493151,0.675895,0.42619678,0.023499217
fx,fx-h,1423,0.5368938861560084,0.9177793394237527,0.81889594,0.4889595,0.014263156
is,is-e,1360,0.6272058823529412,0.763235294117647,0.74616146,0.54168826,0.018966852
m,m-si,1344,0.6428571428571429,0.71875,0.8699365,0.59831184,0.009584402
ss,ss-n,4831,0.6803974332436349,0.7313185675843511,0.7395941,0.57367927,0.016112953
fx,fx-n,659,0.6843702579666161,0.9301972685887708,0.78695875,0.6043994,0.016000992
sp,sp-s,980,0.6989795918367347,0.7724489795918368,0.8308234,0.64859074,0.012778755
fx,fx-o,4534,0.7767975297750331,0.9536832818703131,0.8441528,0.7218909,0.012571833
m,m-m,2044,0.7832681017612525,0.9187866927592955,0.75720865,0.6557575,0.015702706
fx,fx-v,1852,0.8326133909287257,0.9487041036717062,0.7453753,0.6766308,0.01608468
